city,state,x,y,population,A,B,C,D,E,NA
Birmingham,AL,-86.759272,33.492367,210928,0.05,0.27,0.33,0.35,,
Mobile,AL,-88.083057,30.686826,189994,0.17,0.4,0.26,0.17,,
Montgomery,AL,-86.29282,32.350445,199054,0.16,0.16,0.32,0.37,,
Little Rock,AR,-92.304948,34.760874,198067,0.14,0.34,0.29,0.23,,
Phoenix,AZ,-112.073299,33.473544,1658422,0.2,0.32,0.16,0.32,,
Fresno,CA,-119.805435,36.7726,526147,0.08,0.21,0.38,0.33,,
Los Angeles,CA,-118.297909,34.054654,3973278,0.14,0.29,0.4,0.17,,
Oakland,CA,-122.223787,37.842615,422575,0.1,0.39,0.34,0.17,,
Sacramento,CA,-121.491491,38.55306,503482,0.05,0.29,0.54,0.12,,
San Diego,CA,-117.199214,32.777269,1029409,0.22,0.36,0.29,0.13,,
San Francisco,CA,-122.464883,37.752918,96219,0.13,0.37,0.32,0.18,,
San Jose,CA,-121.922052,37.333171,1029409,0.05,0.19,0.46,0.3,,
Stockton,CA,-121.311496,37.968811,311103,0.07,0.35,0.33,0.26,,
Denver,CO,-104.934243,39.728101,715878,0.11,0.22,0.37,0.3,,
Pueblo,CO,-104.626791,38.272357,111776,0.19,0.22,0.28,0.31,,
Hartford,CT,-72.742955,41.781017,122549,0.3,0.22,0.37,0.11,,
New Britain,CT,-72.789464,41.669701,72543,0.22,0.44,0.22,0.11,,
New Haven,CT,-72.913991,41.34751,130381,0.17,0.21,0.43,0.19,,
"Stamford, Darien, and New Canaan",CT,-73.497943,41.075805,130057,0.3,0.37,0.22,0.11,,
Waterbury,CT,-73.047449,41.572849,107841,0.07,0.33,0.47,0.13,,
Jacksonville,FL,-81.678572,30.286454,902488,0.17,0.33,0.42,0.08,,
Miami,FL,-80.183145,25.801813,461080,0.2,0.34,0.28,0.18,,
St. Petersburg,FL,-82.644763,27.792495,264001,0.1,0.19,0.42,0.29,,
Tampa,FL,-82.471325,27.931922,395912,0.17,0.21,0.38,0.25,,
Atlanta,GA,-84.38814,33.840946,497642,0.08,0.25,0.38,0.29,,
Augusta,GA,-82.039483,33.475854,197535,0.03,0.3,0.27,0.4,,
Columbus,GA,-84.964841,32.472882,195418,0.16,0.28,0.36,0.2,,
Macon,GA,-83.637072,32.857867,153026,0.05,0.15,0.4,0.4,,
Savannah,GA,-81.08288,32.052711,145492,0.12,0.32,0.16,0.32,0.08,
Council Bluffs,IA,-95.838172,41.266526,62376,0.17,0.39,0.33,0.11,,
Davenport,IA,-90.546226,41.535949,102199,0.08,0.29,0.46,0.17,,
Des Moines,IA,-93.664476,41.592367,215408,0.29,0.25,0.25,0.21,,
Dubuque,IA,-90.680228,42.487445,58052,0.1,0.2,0.4,0.3,,
Sioux City,IA,-96.408094,42.525717,82535,0.05,0.18,0.45,0.32,,
Waterloo,IA,-92.361052,42.480836,67671,0.09,0.23,0.27,0.41,,
Aurora,IL,-88.343343,41.760438,199326,0.09,0.23,0.27,0.41,,
Chicago,IL,-87.755655,42.06188,2699347,0.06,0.23,0.48,0.23,,
Decatur,IL,-88.983507,39.838894,71857,0.08,0.38,0.25,0.29,,
East St. Louis,IL,-90.082491,38.604706,26359,0.15,0.19,0.34,0.32,,
Joliet,IL,-88.104801,41.531061,147323,0.03,0.25,0.44,0.28,,
Peoria,IL,-89.591981,40.728041,112644,0.17,0.26,0.39,0.17,,
Rockford,IL,-89.055189,42.282651,147441,0.19,0.22,0.28,0.31,,
Springfield,IL,-89.673418,39.78307,115075,0.13,0.16,0.23,0.48,,
Evansville,IN,-87.523606,37.969971,118414,0.08,0.12,0.5,0.29,,
Fort Wayne,IN,-85.147323,41.051482,268378,0.11,0.32,0.43,0.15,,
Indianapolis,IN,-86.148403,39.857848,869387,0.07,0.23,0.33,0.37,,
Lake Co. Gary,IN,-87.424774,41.573805,75486,0.12,0.23,0.4,0.25,,
Muncie,IN,-85.401889,40.198416,67739,,0.12,0.6,0.28,,
South Bend,IN,-86.230205,41.667095,102686,0.14,0.3,0.3,0.26,,
Terre Haute,IN,-87.385007,39.475201,60690,0.11,0.15,0.33,0.41,,
Topeka,KS,-95.707611,39.041549,125819,0.17,0.2,0.24,0.39,,
Wichita,KS,-97.280587,37.689358,390566,0.26,0.13,0.16,0.45,,
Covington,KY,-84.488304,39.075355,40466,0.15,0.38,0.35,0.12,,
Lexington,KY,-84.489467,38.024938,322200,0.14,0.17,0.41,0.28,,
Louisville,KY,-85.686228,38.239081,618733,0.15,0.3,0.31,0.24,,
New Orleans,LA,-90.10603,29.995934,391249,0.07,0.17,0.39,0.37,,
Shreveport,LA,-93.736764,32.472544,189890,0.08,0.15,0.38,0.38,,
Arlington,MA,-71.157578,42.42379,45379,0.18,0.59,0.24,,,
Belmont,MA,-71.177207,42.401189,26158,0.25,0.44,0.25,0.06,,
Boston,MA,-71.129983,42.307695,689326,0.03,0.21,0.46,0.31,,
Braintree,MA,-71.011116,42.21525,37196,0.12,0.62,0.25,,,
Brockton,MA,-71.053063,42.082046,95740,0.12,0.19,0.62,0.06,,
Brookline,MA,-71.150053,42.315542,59223,0.17,0.42,0.33,0.08,,
Cambridge,MA,-71.1441,42.377761,117822,0.06,0.44,0.38,0.12,,
Chelsea,MA,-71.031622,42.401964,39878,,,0.8,0.2,,
Dedham,MA,-71.172188,42.244263,25330,,0.3,0.5,0.2,,
Everett,MA,-71.047532,42.412768,46275,,,0.25,0.75,,
Haverhill,MA,-71.069642,42.788464,63783,0.08,0.2,0.4,0.32,,
Holyoke Chicopee,MA,-72.628067,42.221403,40161,0.08,0.27,0.38,0.27,,
Lexington,MA,-71.22251,42.447355,33304,0.31,0.31,0.38,,,
Malden,MA,-71.08314,42.432078,60710,,0.17,0.5,0.33,,
Medford,MA,-71.122292,42.42467,58290,0.18,0.27,0.55,,,
Melrose,MA,-71.051556,42.465443,28054,0.38,0.5,0.12,,,
Milton,MA,-71.067413,42.25934,27590,0.29,0.43,0.29,,,
Needham,MA,-71.223277,42.281578,31177,,0.67,0.17,0.17,,
Newton,MA,-71.210385,42.329547,88322,0.2,0.47,0.2,0.13,,
Quincy,MA,-71.004916,42.253747,94389,,0.55,0.36,0.09,,
Revere,MA,-71.011139,42.409077,53400,,,0.75,0.25,,
Saugus,MA,-71.010964,42.460224,28326,,0.33,0.17,0.5,,
Somerville,MA,-71.12232,42.409075,81175,,0.25,0.75,,,
Waltham,MA,-71.257771,42.371867,62597,0.12,0.5,0.25,0.12,,
Watertown,MA,-71.171566,42.373755,35749,,0.2,0.6,0.2,,
Winchester,MA,-71.15678,42.446628,22760,0.12,0.75,0.12,,,
Winthrop,MA,-70.984252,42.37717,18558,,0.43,0.29,0.29,,
Baltimore,MD,-76.624336,39.344245,602274,0.1,0.37,0.37,0.15,,
Battle Creek,MI,-85.188475,42.295539,51084,0.08,0.21,0.44,0.28,,
Bay City,MI,-83.861743,43.595391,32892,0.06,0.18,0.29,0.47,,
Detroit,MI,-83.05093,42.419806,672351,0.06,0.16,0.51,0.26,,
Flint,MI,-83.714997,42.997215,95999,0.04,0.14,0.36,0.46,,
Grand Rapids,MI,-85.612273,42.9493,199417,0.1,0.33,0.46,0.11,,
Jackson,MI,-84.427292,42.232651,32251,0.08,0.38,0.38,0.15,,
Kalamazoo,MI,-85.60438,42.262111,76106,0.07,0.2,0.52,0.22,,
Lansing,MI,-84.528168,42.735217,117488,0.25,0.25,0.25,0.25,,
Muskegon,MI,-86.28399,43.248236,37317,0.05,0.24,0.38,0.33,,
Pontiac,MI,-83.320097,42.631966,59714,0.09,0.24,0.41,0.26,,
Saginaw,MI,-83.985359,43.421991,48407,0.16,0.13,0.52,0.19,,
Duluth,MN,-92.080458,46.805073,85852,0.12,0.21,0.39,0.24,0.03,
Minneapolis,MN,-93.284729,44.925225,424536,0.2,0.31,0.29,0.2,,
Rochester,MN,-92.476378,44.016816,117134,0.25,0.25,0.25,0.25,,
St. Paul,MN,-93.167877,44.939859,305877,0.17,0.33,0.22,0.28,,
Greater Kansas City,MO,-94.60947,39.017952,491158,0.08,0.19,0.39,0.33,,
Springfield,MO,-93.275879,37.186848,167601,0.09,0.13,0.43,0.35,,
St. Joseph,MO,-94.825578,39.778994,75369,0.09,0.21,0.24,0.45,,
St. Louis,MO,-90.322213,38.635382,304709,0.25,0.32,0.31,0.13,,
Jackson,MS,-90.182215,32.327532,163778,0.16,0.28,0.32,0.24,,
Asheville,NC,-82.549913,35.589097,92328,0.14,0.48,0.19,0.19,,
Charlotte,NC,-80.829944,35.197931,873570,0.09,0.21,0.38,0.32,,
Durham,NC,-78.912763,35.999129,276341,0.21,0.25,0.29,0.25,,
Greensboro,NC,-79.808266,36.085919,294395,0.14,0.29,0.43,0.14,,
Winston-Salem,NC,-80.280854,36.103373,245787,0.04,0.22,0.48,0.26,,
Lincoln,NE,-96.67567,40.793593,286388,0.09,0.45,0.36,0.09,,
Omaha,NE,-96.007187,41.25879,479529,0.11,0.22,0.33,0.33,,
Manchester,NH,-71.465433,43.015143,112441,0.04,0.12,0.42,0.42,,
Atlantic City,NJ,-74.491341,39.332893,85201,0.07,0.26,0.56,0.11,,
Bergen Co.,NJ,-74.065683,40.97003,931275,0.06,0.32,0.47,0.15,,
Camden,NJ,-75.057254,39.909567,73742,0.11,0.39,0.34,0.16,,
Essex Co.,NJ,-74.253804,40.781665,17356,0.22,0.32,0.31,0.15,,
Hudson Co.,NJ,-74.099933,40.775169,671923,,0.12,0.37,0.52,,
Trenton,NJ,-74.806512,40.240019,31161,0.06,0.28,0.56,0.11,,
Union Co.,NJ,-74.323732,40.674831,2591,0.14,0.29,0.39,0.18,,
Albany,NY,-73.797891,42.659959,96860,0.21,0.25,0.32,0.21,,
Binghamton-Johnson City,NY,-75.938582,42.090975,44819,0.14,0.39,0.36,0.11,,
Bronx,NY,-73.910046,40.897395,1427000,0.05,0.25,0.52,0.16,0.02,
Brooklyn,NY,-74.036698,40.626634,2577000,0.02,0.26,0.38,0.35,,
Buffalo,NY,-78.824164,42.952377,255805,0.21,0.39,0.24,0.15,,
Elmira,NY,-76.827842,42.093976,27236,0.04,0.21,0.42,0.33,,
Lower Westchester Co.,NY,-73.805359,40.9481,968738,0.2,0.33,0.31,0.16,,
Manhattan,NY,-73.956932,40.79062,1629000,0.15,0.23,0.11,0.51,,
Niagara Falls,NY,-79.053819,43.124538,47978,0.07,0.5,0.29,0.14,,
Poughkeepsie,NY,-73.924754,41.684694,30341,0.06,0.24,0.41,0.29,,
Queens,NY,-73.842549,40.725151,2331143,0.01,0.1,0.66,0.23,,
Rochester,NY,-77.566907,43.155756,206357,0.2,0.26,0.43,0.11,,
Schenectady,NY,-73.901406,42.808321,65336,0.14,0.14,0.54,0.19,,
Staten Island,NY,-74.102427,40.607746,475596,0.06,0.23,0.36,0.35,,
Syracuse,NY,-76.115003,43.04337,142553,0.1,0.39,0.39,0.12,,
Troy,NY,-73.67055,42.734483,49253,0.03,0.31,0.42,0.25,,
Utica,NY,-75.242821,43.069771,59984,0.16,0.16,0.44,0.24,,
Akron,OH,-81.551149,41.107229,197375,0.16,0.28,0.36,0.19,,
Canton,OH,-81.381967,40.819225,70863,0.07,0.32,0.36,0.25,,
Cleveland,OH,-81.658601,41.477051,383331,0.16,0.29,0.4,0.15,,
Columbus,OH,-82.995149,39.98776,889079,0.09,0.35,0.4,0.16,,
Dayton,OH,-84.189614,39.71597,140444,0.15,0.23,0.32,0.3,,
Hamilton,OH,-84.579453,39.404643,62162,0.09,0.17,0.52,0.22,,
Lima,OH,-84.143278,40.739399,36908,0.04,0.26,0.48,0.22,,
Lorain,OH,-82.174418,41.462946,63832,,0.17,0.5,0.33,,
Portsmouth,OH,-82.977598,38.753961,20094,0.14,0.14,0.38,0.33,,
Springfield,OH,-83.810554,39.936973,58957,0.19,0.24,0.35,0.22,,
Toledo,OH,-83.618394,41.648782,275116,0.15,0.28,0.45,0.12,,
Warren,OH,-80.784353,41.240296,38986,0.05,0.35,0.4,0.2,,
Youngstown,OH,-80.662871,41.071755,64152,0.12,0.24,0.43,0.21,,
Oklahoma City,OK,-97.531735,35.504658,649821,0.14,0.13,0.36,0.37,,
Tulsa,OK,-95.960023,36.133486,402441,0.33,0.19,0.29,0.19,,
Portland,OR,-122.66777,45.479703,650380,0.17,0.33,0.4,0.1,,
Altoona,PA,-78.40651,40.491751,43669,0.07,0.43,0.33,0.17,,
Bethlehem,PA,-75.403899,40.628597,75571,0.09,0.26,0.35,0.3,,
Chester,PA,-75.367365,39.866947,33855,0.29,0.29,0.29,0.14,,
Erie,PA,-80.104268,42.107245,96616,0.09,0.36,0.4,0.15,,
Harrisburg,PA,-76.894048,40.26149,49247,0.08,0.31,0.19,0.42,,
Johnstown,PA,-78.926055,40.307082,19381,,0.17,0.43,0.4,,
Lancaster,PA,-76.320356,40.0488,59321,0.3,0.61,0.03,0.06,,
New Castle,PA,-80.344078,41.017759,21805,0.12,0.23,0.31,0.35,,
Philadelphia,PA,-75.181063,40.055218,1581531,0.12,0.34,0.22,0.32,,
Pittsburgh,PA,-79.9975,40.422379,301286,0.1,0.24,0.37,0.3,,
Wilkes-Barre,PA,-75.890999,41.252717,40805,0.32,0.32,,0.36,,
York,PA,-76.720419,39.946478,44019,0.15,0.26,0.33,0.26,,
Pawtucket & Central Falls,RI,-71.392726,41.872685,19437,0.24,0.35,0.29,0.12,,
Providence,RI,-71.406348,41.808922,179472,0.12,0.36,0.44,0.08,,
Woonsocket,RI,-71.521039,42.011302,41616,0.12,0.25,0.12,0.5,,
Columbia,SC,-80.996819,33.998877,134057,0.21,0.27,0.3,0.21,,
Chattanooga,TN,-85.288708,35.047111,181370,0.13,0.26,0.35,0.26,,
Knoxville,TN,-83.947046,35.954913,187487,0.09,0.27,0.36,0.27,,
Memphis,TN,-89.969999,35.132892,650910,0.27,0.31,0.31,0.12,,
Nashville,TN,-86.821152,36.103906,29325,0.11,0.22,0.33,0.33,,
Amarillo,TX,-101.857016,35.191101,199225,0.15,0.1,0.3,0.45,,
Austin,TX,-97.760269,30.303937,965872,0.17,0.39,0.06,0.39,,
Beaumont,TX,-94.109028,30.07113,117321,0.14,0.32,0.18,0.27,,0.09
Dallas,TX,-96.787419,32.833087,1338846,0.22,0.33,0.26,0.2,,
El Paso,TX,-106.472878,31.787172,679879,0.17,0.26,0.26,0.3,,
Fort Worth,TX,-97.375703,32.728533,892221,0.15,0.17,0.31,0.35,,0.02
Galveston,TX,-94.807799,29.286983,50307,0.25,0.25,0.25,0.25,,
Houston,TX,-95.383303,29.727684,2313238,0.1,0.28,0.38,0.25,,
Port Arthur,TX,-93.931825,29.886518,54705,0.14,0.29,0.14,0.43,,
San Antonio,TX,-98.526914,29.466022,1529133,0.1,0.4,0.35,0.15,,
Waco,TX,-97.160175,31.544546,137779,0.16,0.24,0.4,0.2,,
Ogden,UT,-111.939692,41.21207,87175,0.13,0.26,0.22,0.39,,
Salt Lake City,UT,-111.842831,40.74466,200133,0.14,0.24,0.31,0.31,,
Lynchburg,VA,-79.187974,37.414034,80970,0.12,0.09,0.47,0.31,,
Newport News,VA,-76.435323,36.999426,179582,,0.12,0.38,0.5,,
Norfolk,VA,-76.359382,36.946277,244300,0.05,0.17,0.47,0.31,,
Richmond,VA,-77.493654,37.562137,229233,0.15,0.31,0.29,0.25,,
Roanoke,VA,-79.956478,37.239385,99122,0.12,0.16,0.44,0.28,,
Seattle,WA,-122.318605,47.625704,741251,0.2,0.32,0.3,0.18,,
Spokane,WA,-117.422168,47.648539,219185,0.15,0.25,0.4,0.21,,
Tacoma,WA,-122.478493,47.273695,215766,0.09,0.21,0.53,0.17,,
Kenosha,WI,-87.815509,42.568477,99767,0.04,0.17,0.43,0.35,,
Madison,WI,-89.420735,43.074359,258366,0.13,0.23,0.38,0.26,,
Milwaukee Co.,WI,-87.934908,43.100099,592649,0.09,0.26,0.44,0.21,,
Oshkosh,WI,-88.520253,44.024403,66753,,0.17,0.33,0.5,,
Racine,WI,-87.780827,42.760142,76893,0.03,0.26,0.43,0.29,,
Charleston,WV,-81.63089,38.344094,47273,0.12,0.26,0.33,0.3,,
Huntington,WV,-82.43177,38.408803,13526,0.21,0.26,0.42,0.11,,
Wheeling,WV,-80.682273,40.07151,27046,0.12,0.17,0.38,0.33,,